SYMBOL,NAME OF COMPANY
ANMOL,Anmol India Ltd
ANSALAPI,Ansal Properties & Infrastructure Ltd
ANTELOPUS,Antelopus Selan Energy Ltd
ANTGRAPHIC,Antarctica Ltd
ANTHEM,Anthem Biosciences Ltd
ANUHPHR,Anuh Pharma Ltd
ANUP,The Anup Engineering Ltd
ANURAS,Anupam Rasayan India Ltd
APARINDS,Apar Industries Ltd
APCL,Anjani Portland Cement Ltd
APCOTEXIND,Apcotex Industries Ltd
APEX,Apex Frozen Foods Ltd
APLAPOLLO,Apl Apollo Tubes Ltd
APLLTD,Alembic Pharmaceuticals Ltd
APOLLO,Apollo Micro Systems Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
APOLLOPIPE,Apollo Pipes Ltd
APOLLOTYRE,Apollo Tyres Ltd
APOLSINHOT,Apollo Sindoori Hotels Ltd
APTECHT,Aptech Ltd
APTUS,Aptus Value Housing Finance India Ltd
ARCHIDPLY,Archidply Industries Ltd
ARCHIES,Archies Ltd
ARE&M,Amara Raja Energy & Mobility Ltd
ARENTERP,Rajdarshan Industries Ltd
ARFIN,Arfin India Ltd
ARIES,Aries Agro Ltd
ARIHANTCAP,Arihant Capital Markets Ltd
ARIHANTSUP,Arihant Superstructures Ltd
ARISINFRA,Arisinfra Solutions Ltd
ARKADE,Arkade Developers Ltd
ARMANFIN,Arman Financial Services Ltd
AROGRANITE,Aro Granite Industries Ltd
ARROWGREEN,Arrow Greentech Ltd
ARSHIYA,Arshiya Ltd
ARSSBL,Anand Rathi Share And Stock Brokers Ltd
ARTEMISMED,Artemis Medicare Services Ltd
ARTNIRMAN,Art Nirman Ltd
ARVEE,Arvee Laboratories (India) Ltd
ARVIND,Arvind Ltd
ARVINDFASN,Arvind Fashions Ltd
ARVSMART,Arvind Smartspaces Ltd
ASAHIINDIA,Asahi India Glass Ltd
ASAHISONG,Asahi Songwon Colors Ltd
ASAL,Automotive Stampings And Assemblies Ltd
ASALCBR,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,Ashapura Minechem Ltd
ASHIANA,Ashiana Housing Ltd
ASHIMASYN,Ashima Ltd
ASHOKA,Ashoka Buildcon Ltd
ASHOKAMET,Ashoka Metcast Ltd
ASHOKLEY,Ashok Leyland Ltd
ASIANENE,Asian Energy Services Ltd
ASIANHOTNR,Asian Hotels (North) Ltd
ASIANPAINT,Asian Paints Ltd
ASIANTILES,Asian Granito India Ltd
ASKAUTOLTD,Ask Automotive Ltd
ASMS,Bartronics India Ltd
ASPINWALL,Aspinwall And Company Ltd
ASTEC,Astec Lifesciences Ltd
ASTERDM,Aster Dm Healthcare Ltd
ASTRAL,Astral Ltd
ASTRAMICRO,Astra Microwave Products Ltd
ASTRAZEN,Astrazeneca Pharma India Ltd
ASTRON,Astron Paper & Board Mill Ltd
ATALREAL,Atal Realtech Ltd
ATAM,Atam Valves Ltd
ATGL,Adani Total Gas Ltd
ATHERENERG,Ather Energy Ltd
ATL,Allcargo Terminals Ltd
ATLANTAA,Atlantaa Ltd
ATLANTAELE,Atlanta Electricals Ltd
ATLASCYCLE,Atlas Cycles (Haryana) Ltd
ATUL,Atul Ltd
ATULAUTO,Atul Auto Ltd
AUBANK,Au Small Finance Bank Ltd
AURIGROW,Auri Grow India Ltd
AURIONPRO,Aurionpro Solutions Ltd
AUROPHARMA,Aurobindo Pharma Ltd
AURUM,Aurum Proptech Ltd
AUSOMENT,Ausom Enterprise Ltd
AUTOAXLES,Automotive Axles Ltd
AUTOIND,Autoline Industries Ltd
AVADHSUGAR,Avadh Sugar & Energy Ltd
AVALON,Avalon Technologies Ltd
AVANTEL,Avantel Ltd
AVANTIFEED,Avanti Feeds Ltd
AVG,Avg Logistics Ltd
AVL,Aditya Vision Ltd
AVONMORE,Avonmore Capital & Management Services Ltd
AVROIND,Avro India Ltd
AVTNPL,Avt Natural Products Ltd
AWFIS,Awfis Space Solutions Ltd
AWHCL,Antony Waste Handling Cell Ltd
AWL,Awl Agri Business Ltd
AXISBANK,Axis Bank Ltd
AXISCADES,Axiscades Technologies Ltd
AXITA,Axita Cotton Ltd
AYMSYNTEX,Aym Syntex Ltd
AZAD,Azad Engineering Ltd
BAFNAPH,Bafna Pharmaceuticals Ltd
BAGFILMS,B.A.G Films And Media Ltd
BAIDFIN,Baid Finserv Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
BAJAJCON,Bajaj Consumer Care Ltd
BAJAJELEC,Bajaj Electricals Ltd
BAJAJFINSV,Bajaj Finserv Ltd
BAJAJHCARE,Bajaj Healthcare Ltd
BAJAJHFL,Bajaj Housing Finance Ltd
BAJAJHIND,Bajaj Hindusthan Sugar Ltd
BAJAJHLDNG,Bajaj Holdings & Investment Ltd
BAJAJINDEF,Indef Manufacturing Ltd
BAJEL,Bajel Projects Ltd
BAJFINANCE,Bajaj Finance Ltd
BALAJEE,Shree Tirupati Balajee Agro Trading Company Ltd
BALAJITELE,Balaji Telefilms Ltd
BALAMINES,Balaji Amines Ltd
BALAXI,Balaxi Pharmaceuticals Ltd
BALKRISHNA,Balkrishna Paper Mills Ltd
BALKRISIND,Balkrishna Industries Ltd
BALMLAWRIE,Balmer Lawrie & Company Ltd
BALPHARMA,Bal Pharma Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd
BALUFORGE,Balu Forge Industries Ltd
BANARBEADS,Banaras Beads Ltd
BANARISUG,Bannari Amman Sugars Ltd
BANCOINDIA,Banco Products (I) Ltd
BANDHANBNK,Bandhan Bank Ltd
BANG,Bang Overseas Ltd
BANKA,Banka Bioloo Ltd
BANKBARODA,Bank Of Baroda
BANKINDIA,Bank Of India
BANSALWIRE,Bansal Wire Industries Ltd
BANSWRAS,Banswara Syntex Ltd
BASF,Basf India Ltd
BASML,Bannari Amman Spinning Mills Ltd
BATAINDIA,Bata India Ltd
BAYERCROP,Bayer Cropscience Ltd
BBL,Bharat Bijlee Ltd
BBOX,Black Box Ltd
BBTC,The Bombay Burmah Trading Corporation Ltd
BBTCL,B&B Triplewall Containers Ltd
BCG,Brightcom Group Ltd
BCLIND,Bcl Industries Ltd
BCONCEPTS,Brand Concepts Ltd
BDL,Bharat Dynamics Ltd
BEARDSELL,Beardsell Ltd
BECTORFOOD,Mrs. Bectors Food Specialities Ltd
BEDMUTHA,Bedmutha Industries Ltd
BEL,Bharat Electronics Ltd
BELLACASA,Bella Casa Fashion & Retail Ltd
BELRISE,Belrise Industries Ltd
BEML,Beml Ltd
BEPL,Bhansali Engineering Polymers Ltd
BERGEPAINT,Berger Paints (I) Ltd
BESTAGRO,Best Agrolife Ltd
BETA,Beta Drugs Ltd
BFINVEST,Bf Investment Ltd
BFUTILITIE,Bf Utilities Ltd
BGRENERGY,Bgr Energy Systems Ltd
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd
BHAGERIA,Bhageria Industries Ltd
BHAGYANGR,Bhagyanagar India Ltd
BHANDARI,Bhandari Hosiery Exports Ltd
BHARATCOAL,Bharat Coking Coal Ltd
BHARATFORG,Bharat Forge Ltd
BHARATGEAR,Bharat Gears Ltd
BHARATRAS,Bharat Rasayan Ltd
BHARATSE,Bharat Seats Ltd
BHARATWIRE,Bharat Wire Ropes Ltd
BHARTIARTL,Bharti Airtel Ltd
BHARTIHEXA,Bharti Hexacom Ltd
BHEL,Bharat Heavy Electricals Ltd
BIGBLOC,Bigbloc Construction Ltd
BIKAJI,Bikaji Foods International Ltd
BIL,Bhartiya International Ltd
BILVYAPAR,Bil Vyapar Ltd
BIOCON,Biocon Ltd
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd
BIRLACABLE,Birla Cable Ltd
BIRLACORPN,Birla Corporation Ltd
BIRLAMONEY,Aditya Birla Money Ltd
BIRLANU,Birlanu Ltd
BLACKBUCK,Blackbuck Ltd
BLAL,Beml Land Assets Ltd
BLBLtd,Blb Ltd
BLISSGVS,Bliss Gvs Pharma Ltd
BLKASHYAP,B. L. Kashyap And Sons Ltd
BLS,Bls International Services Ltd
BLSE,Bls E-Services Ltd
BLUECHIP,Blue Chip India Ltd
BLUECOAST,Blue Coast Hotels Ltd
BLUEDART,Blue Dart Express Ltd
BLUEJET,Blue Jet Healthcare Ltd
BLUESTARCO,Blue Star Ltd
BLUESTONE,Bluestone Jewellery And Lifestyle Ltd
BLUSPRING,Bluspring Enterprises Ltd
BMWVENTLTD,Bmw Ventures Ltd
BODALCHEM,Bodal Chemicals Ltd
BOHRAIND,Bohra Industries Ltd
BOMDYEING,Bombay Dyeing & Mfg Company Ltd
BORANA,Borana Weaves Ltd
BOROLTD,Borosil Ltd
BORORENEW,Borosil Renewables Ltd
BOROSCI,Borosil Scientific Ltd
BOSCH-HCIL,Bosch Home Comfort India Ltd
BOSCHLTD,Bosch Ltd
BPCL,Bharat Petroleum Corporation Ltd
BPL,Bpl Ltd
BRIGADE,Brigade Enterprises Ltd
BRIGHOTEL,Brigade Hotel Ventures Ltd
BRITANNIA,Britannia Industries Ltd
BRNL,Bharat Road Network Ltd
BROOKS,Brooks Laboratories Ltd
BSE,Bse Ltd
BSHSL,Bombay Super Hybrid Seeds Ltd
BSL,Bsl Ltd
BSOFT,Birlasoft Ltd
BTML,Bodhi Tree Multimedia Ltd
BUILDPRO,Shankara Buildpro Ltd
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd
BVCL,Barak Valley Cements Ltd
BYKE,The Byke Hospitality Ltd
CALSOFT,California Software Company Ltd
CAMLINFINE,Camlin Fine Sciences Ltd
CAMPUS,Campus Activewear Ltd
CAMS,Computer Age Management Services Ltd
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Ltd
CANHLIFE,Canara Hsbc Life Insurance Company Ltd
CANTABIL,Cantabil Retail India Ltd
CAPACITE,Capacit'E Infraprojects Ltd
CAPILLARY,Capillary Technologies India Ltd
CAPITALSFB,Capital Small Finance Bank Ltd
CAPLIPOINT,Caplin Point Laboratories Ltd
CAPTRUST,Capital Trust Ltd
CARBORUNIV,Carborundum Universal Ltd
CARERATING,Care Ratings Ltd
CARRARO,Carraro India Ltd
CARTRADE,Cartrade Tech Ltd
CARYSIL,Carysil Ltd
CASTROLIND,Castrol India Ltd
CCAVENUE,Avenuesai Ltd
CCCL,Consolidated Construction Consortium Ltd
CCHHL,Country Club Hospitality & Holidays Ltd
CCL,Ccl Products (India) Ltd
CDSL,Central Depository Services (India) Ltd
CEATLTD,Ceat Ltd
CEIGALL,Ceigall India Ltd
CELEBRITY,Celebrity Fashions Ltd
CELLO,Cello World Ltd
CEMPRO,Cemindia Projects Ltd
CENTENKA,Century Enka Ltd
CENTEXT,Century Extrusions Ltd
CENTRALBK,Central Bank Of India
CENTRUM,Centrum Capital Ltd
CENTUM,Centum Electronics Ltd
CENTURYPLY,Century Plyboards (India) Ltd
CERA,Cera Sanitaryware Ltd
CEREBRAINT,Cerebra Integrated Technologies Ltd
CESC,Cesc Ltd
CEWATER,Concord Enviro Systems Ltd
CGCL,Capri Global Capital Ltd
CGPOWER,Cg Power And Industrial Solutions Ltd
CHALET,Chalet Hotels Ltd
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd
CHEMBOND,Chembond Material Technologies Ltd
CHEMBONDCH,Chembond Chemicals Ltd
CHEMCON,Chemcon Speciality Chemicals Ltd
CHEMFAB,Chemfab Alkalis Ltd
CHEMPLASTS,Chemplast Sanmar Ltd
CHENNPETRO,Chennai Petroleum Corporation Ltd
CHEVIOT,Cheviot Company Ltd
CHOICEIN,Choice International Ltd
CHOLAFIN,Cholamandalam Investment And Finance Company Ltd
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
CIEINDIA,Cie Automotive India Ltd
CIFL,Capital India Finance Ltd
CIGNITITEC,Cigniti Technologies Ltd
CINELINE,Cineline India Ltd
CINEVISTA,Cinevista Ltd
CIPLA,Cipla Ltd
CLCIND,Clc Industries Ltd
CLEAN,Clean Science And Technology Ltd
CLEDUCATE,Cl Educate Ltd
CLSEL,Chaman Lal Setia Exports Ltd
CMSINFO,Cms Info Systems Ltd
CNL,Creative Newtech Ltd
COALINDIA,Coal India Ltd
COASTCORP,Coastal Corporation Ltd
COCHINSHIP,Cochin Shipyard Ltd
COFFEEDAY,Coffee Day Enterprises Ltd
COFORGE,Coforge Ltd
COHANCE,Cohance Lifesciences Ltd
COLPAL,Colgate Palmolive (India) Ltd
COMPINFO,Compuage Infocom Ltd
COMPUSOFT,Compucom Software Ltd
COMSYN,Commercial Syn Bags Ltd
CONCOR,Container Corporation Of India Ltd
CONCORDBIO,Concord Biotech Ltd
CONFIPET,Confidence Petroleum India Ltd
CONSOFINVT,Consolidated Finvest & Holdings Ltd
CONTROLPR,Control Print Ltd
CORALFINAC,Coral India Finance & Housing Ltd
CORDSCABLE,Cords Cable Industries Ltd
COROMANDEL,Coromandel International Ltd
CORONA,Corona Remedies Ltd
COSMOFIRST,Cosmo First Ltd
COUNCODOS,Country Condo'S Ltd
CPCAP,Cp Capital Ltd
CPEDU,Career Point Edutech Ltd
CPPLUS,Aditya Infotech Ltd
CRAFTSMAN,Craftsman Automation Ltd
CRAMC,Canara Robeco Asset Management Company Ltd
CREATIVEYE,Creative Eye Ltd
CREDITACC,Creditaccess Grameen Ltd
CREST,Crest Ventures Ltd
CRISIL,Crisil Ltd
CRIZAC,Crizac Ltd
CROMPTON,Crompton Greaves Consumer Electricals Ltd
CROWN,Crown Lifters Ltd
CSBBANK,Csb Bank Ltd
CSLFINANCE,Csl Finance Ltd
CTE,Cambridge Technology Enterprises Ltd
CUB,City Union Bank Ltd
CUBEXTUB,Cubex Tubings Ltd
CUMMINSIND,Cummins India Ltd
CUPID,Cupid Ltd
CURAA,Cura Technologies Ltd
CYBERMEDIA,Cyber Media (India) Ltd
CYBERTECH,Cybertech Systems And Software Ltd
CYIENT,Cyient Ltd
CYIENTDLM,Cyient Dlm Ltd
DABUR,Dabur India Ltd
DALBHARAT,Dalmia Bharat Ltd
DALMIASUG,Dalmia Bharat Sugar And Industries Ltd
DAMCAPITAL,Dam Capital Advisors Ltd
DAMODARIND,Damodar Industries Ltd
DANGEE,Dangee Dums Ltd
DATAMATICS,Datamatics Global Services Ltd
DATAPATTNS,Data Patterns (India) Ltd
DAVANGERE,Davangere Sugar Company Ltd
DBCORP,D.B.Corp Ltd
DBEIL,Deepak Builders & Engineers India Ltd
DBL,Dilip Buildcon Ltd
DBOL,Dhampur Bio Organics Ltd
DBREALTY,Valor Estate Ltd
DBSTOCKBRO,Db (International) Stock Brokers Ltd
DCAL,Dishman Carbogen Amcis Ltd
DCBBANK,Dcb Bank Ltd
DCI,Dc Infotech And Communication Ltd
DCM,Dcm  Ltd
DCMFINSERV,Dcm Financial Services Ltd
DCMNVL,Dcm Nouvelle Ltd
DCMSHRIRAM,Dcm Shriram Ltd
DCMSRIND,Dcm Shriram Industries Ltd
DCW,Dcw Ltd
DCXINDIA,Dcx Systems Ltd
DDEVPLSTIK,Ddev Plastiks Industries Ltd
DECCANCE,Deccan Cements Ltd
DEEDEV,Dee Development Engineers Ltd
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Ltd
DEEPAKNTR,Deepak Nitrite Ltd
DEEPINDS,Deep Industries Ltd
DELHIVERY,Delhivery Ltd
DELPHIFX,Delphi World Money Ltd
DELTACORP,Delta Corp Ltd
DELTAMAGNT,Delta Manufacturing Ltd
DEN,Den Networks Ltd
DENORA,De Nora India Ltd
DENTA,Denta Water And Infra Solutions Ltd
DEVIT,Dev Information Technology Ltd
DEVX,Dev Accelerator Ltd
DEVYANI,Devyani International Ltd
DGCONTENT,Digicontent Ltd
DHAMPURSUG,Dhampur Sugar Mills Ltd
DHANBANK,Dhanlaxmi Bank Ltd
DHANUKA,Dhanuka Agritech Ltd
DHARAN,Dharan Infra-Epc Ltd
DHARMAJ,Dharmaj Crop Guard Ltd
DHRUV,Dhruv Consultancy Services Ltd
DHUNINV,Dhunseri Investments Ltd
DIACABS,Diamond Power Infrastructure Ltd
DIAMINESQ,Diamines & Chemicals Ltd
DIAMONDYD,Prataap Snacks Ltd
DICIND,Dic India Ltd
DIFFNKG,Diffusion Engineers Ltd
DIGIDRIVE,Digidrive Distributors Ltd
DIGISPICE,Digispice Technologies Ltd
DIGITIDE,Digitide Solutions Ltd
DIGJAMLMTD,Digjam Ltd
DIL,Debock Industries Ltd
DISHTV,Dish Tv India Ltd
DIVGIITTS,Divgi Torqtransfer Systems Ltd
DIVISLAB,Divi'S Laboratories Ltd
DIXON,Dixon Technologies (India) Ltd
DJML,Dj Mediaprint & Logistics Ltd
DLF,Dlf Ltd
DLINKINDIA,D-Link (India) Ltd
DMART,Avenue Supermarts Ltd
DMCC,Dmcc Speciality Chemicals Ltd
DNAMEDIA,Diligent Media Corporation Ltd
DODLA,Dodla Dairy Ltd
DOLATALGO,Dolat Algotech Ltd
DOLLAR,Dollar Industries Ltd
DOLPHIN,Dolphin Offshore Enterprises (India) Ltd
DOMS,Doms Industries Ltd
DONEAR,Donear Industries Ltd
DPABHUSHAN,D. P. Abhushan Ltd
DPSCLTD,Dpsc Ltd
DPWIRES,D P Wires Ltd
DRCSYSTEMS,Drc Systems India Ltd
DREAMFOLKS,Dreamfolks Services Ltd
DREDGECORP,Dredging Corporation Of India Ltd
DRREDDY,Dr. Reddy'S Laboratories Ltd
DSSL,Dynacons Systems & Solutions Ltd
DTIL,Dhunseri Tea & Industries Ltd
DUCON,Ducon Infratechnologies Ltd
DVL,Dhunseri Ventures Ltd
DWARKESH,Dwarikesh Sugar Industries Ltd
DYCL,Dynamic Cables Ltd
DYNAMATECH,Dynamatic Technologies Ltd
DYNPRO,Dynemic Products Ltd
E2E,E2E Networks Ltd
EASEMYTRIP,Easy Trip Planners Ltd
EASTSILK,Eastern Silk Industries Ltd
EBGNG,Gng Electronics Ltd
ECLERX,Eclerx Services Ltd
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Ltd
EDELWEISS,Edelweiss Financial Services Ltd
EFCIL,Efc (I) Ltd
EICHERMOT,Eicher Motors Ltd
EIDPARRY,Eid Parry India Ltd
EIEL,Enviro Infra Engineers Ltd
EIFFL,Euro India Fresh Foods Ltd
EIHAHOTELS,Eih Associated Hotels Ltd
EIHOTEL,Eih Ltd
EIMCOELECO,Eimco Elecon (India) Ltd
EKC,Everest Kanto Cylinder Ltd
ELDEHSG,Eldeco Housing And Industries Ltd
ELECON,Elecon Engineering Company Ltd
ELECTCAST,Electrosteel Castings Ltd
ELECTHERM,Electrotherm (India) Ltd
ELGIEQUIP,Elgi Equipments Ltd
ELGIRUBCO,Elgi Rubber Company Ltd
ELIN,Elin Electronics Ltd
ELLEN,Ellenbarrie Industrial Gases Ltd
EMAMILTD,Emami Ltd
EMAMIPAP,Emami Paper Mills Ltd
EMAMIREAL,Emami Realty Ltd
EMBDL,Embassy Developments Ltd
EMCURE,Emcure Pharmaceuticals Ltd
EMIL,Electronics Mart India Ltd
EMKAY,Emkay Global Financial Services Ltd
EMMBI,Emmbi Industries Ltd
EMMVEE,Emmvee Photovoltaic Power Ltd
EMSLtd,Ems Ltd
EMUDHRA,Emudhra Ltd
ENDURANCE,Endurance Technologies Ltd
ENERGYDEV,Energy Development Company Ltd
ENGINERSIN,Engineers India Ltd
ENIL,Entertainment Network (India) Ltd
ENRIN,Siemens Energy India Ltd
ENTERO,Entero Healthcare Solutions Ltd
EPACK,Epack Durable Ltd
EPACKPEB,Epack Prefab Technologies Ltd
EPIGRAL,Epigral Ltd
EPL,Epl Ltd
EQUIPPP,Equippp Social Impact Technologies Ltd
EQUITASBNK,Equitas Small Finance Bank Ltd
ERIS,Eris Lifesciences Ltd
ESABINDIA,Esab India Ltd
ESAFSFB,Esaf Small Finance Bank Ltd
ESCORTS,Escorts Kubota Ltd
ESSARSHPNG,Essar Shipping Ltd
ESSENTIA,Integra Essentia Ltd
ESTER,Ester Industries Ltd
ETERNAL,Eternal Ltd
ETHOSLTD,Ethos Ltd
EUREKAFORB,Eureka Forbes Ltd
EUROBOND,Euro Panel Products Ltd
EUROPRATIK,Euro Pratik Sales Ltd
EUROTEXIND,Eurotex Industries And Exports Ltd
EVEREADY,Eveready Industries India Ltd
EVERESTIND,Everest Industries Ltd
EXCEL,Excel Realty N Infra Ltd
EXCELINDUS,Excel Industries Ltd
EXCELSOFT,Excelsoft Technologies Ltd
EXICOM,Exicom Tele-Systems Ltd
EXIDEIND,Exide Industries Ltd
EXPLEOSOL,Expleo Solutions Ltd
EXXARO,Exxaro Tiles Ltd
FABTECH,Fabtech Technologies Ltd
FACT,Fertilizers And Chemicals Travancore Ltd
FAIRCHEMOR,Fairchem Organics Ltd
FAZE3Q,Faze Three Ltd
FCL,Fineotex Chemical Ltd
FCSSOFT,Fcs Software Solutions Ltd
FDC,Fdc Ltd
FEDERALBNK,The Federal Bank  Ltd
FEDFINA,Fedbank Financial Services Ltd
FEL,Future Enterprises Ltd
FELDVR,Future Enterprises Ltd
FIBERWEB,Fiberweb (India) Ltd
FIEMIND,Fiem Industries Ltd
FILATEX,Filatex India Ltd
FILATFASH,Filatex Fashions Ltd
FINCABLES,Finolex Cables Ltd
FINEORG,Fine Organic Industries Ltd
FINKURVE,Finkurve Financial Services Ltd
FINOPB,Fino Payments Bank Ltd
FINPIPE,Finolex Industries Ltd
FIRSTCRY,Brainbees Solutions Ltd
FISCHER,Fischer Medical Ventures Ltd
FIVESTAR,Five-Star Business Finance Ltd
FLAIR,Flair Writing Industries Ltd
FLEXITUFF,Flexituff Ventures International Ltd
FLFL,Future Lifestyle Fashions Ltd
FLUOROCHEM,Gujarat Fluorochemicals Ltd
FMGOETZE,Federal-Mogul Goetze (India) Ltd.
FMNL,Future Market Networks Ltd
FOCUS,Focus Lighting And Fixtures Ltd
FOODSIN,Foods & Inns Ltd
FORCEMOT,Force Motors Ltd
FORTIS,Fortis Healthcare Ltd
FOSECOIND,Foseco India Ltd
FSL,Firstsource Solutions Ltd
FUSION,Fusion Finance Ltd
GABRIEL,Gabriel India Ltd
GAEL,Gujarat Ambuja Exports Ltd
GAIL,Gail (India) Ltd
GALAPREC,Gala Precision Engineering Ltd
GALAXYSURF,Galaxy Surfactants Ltd
GALLANTT,Gallantt Ispat Ltd
GANDHAR,Gandhar Oil Refinery (India) Ltd
GANDHITUBE,Gandhi Special Tubes Ltd
