Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,DCMSRIND,EQ,DCM SHRIRAM IND LTD      ,Listed    ,05 FEB 2026,               2.00,          86992185,             38.85,     3379646387.25  
05 FEB 2026,DCW,EQ,DCW LTD                  ,Listed    ,05 FEB 2026,               2.00,         295155017,             48.30,    14261890421.45       
05 FEB 2026,DCXINDIA,EQ,DCX SYSTEMS LIMITED      ,Listed    ,05 FEB 2026,               2.00,         111386427,            167.70,    18680617672.15  
05 FEB 2026,DDEVPLSTIK,EQ,DDEV PLASTIKS IND LTD    ,Listed    ,05 FEB 2026,               1.00,         103476664,            292.30,    30246228887.20
05 FEB 2026,DECCANCE,EQ,DECCAN CEMENTS LIMITED   ,Listed    ,05 FEB 2026,               5.00,          14007500,            674.20,     9443856500.00  
05 FEB 2026,DECCANTRAN,SM,DECCAN TRANSCON LEASING L,Listed    ,05 FEB 2026,              10.00,          22723448,             23.80,      540818062.40
05 FEB 2026,DEEDEV,EQ,DEE DEVELOPMENT ENG LTD  ,Listed    ,05 FEB 2026,              10.00,          69263342,            209.10,    14482272178.80    
05 FEB 2026,DEEM,SM,DEEM ROLL TECH LIMITED   ,Listed    ,04 FEB 2026,              10.00,           8337272,             42.80,      356835241.60      
05 FEB 2026,DEEPAKFERT,EQ,DEEPAK FERTILIZERS & PETR,Listed    ,05 FEB 2026,              10.00,         126237825,           1017.80,   128484858285.00
05 FEB 2026,DEEPAKNTR,EQ,DEEPAK NITRITE LTD       ,Listed    ,05 FEB 2026,               2.00,         136393041,           1606.80,   219156338278.80 
05 FEB 2026,DEEPINDS,EQ,DEEP INDUSTRIES LIMITED  ,Listed    ,05 FEB 2026,               5.00,          64000000,            413.80,    26483200000.00  
05 FEB 2026,DELAPLEX,SM,DELAPLEX LIMITED         ,Listed    ,05 FEB 2026,              10.00,           9110000,            108.60,      989346000.00  
05 FEB 2026,DELHIVERY,EQ,DELHIVERY LIMITED        ,Listed    ,05 FEB 2026,               1.00,         748095781,            444.10,   332229336342.10 
05 FEB 2026,DELPHIFX,EQ,DELPHI WORLD MONEY LTD   ,Listed    ,05 FEB 2026,              10.00,          16351185,            227.05,     3712700066.10  
05 FEB 2026,DELTACORP,EQ,DELTA CORP LIMITED       ,Listed    ,05 FEB 2026,               1.00,         267771097,             65.00,    17405121305.00 
05 FEB 2026,DELTAMAGNT,EQ,DELTA MANUFACTURING LTD  ,Listed    ,05 FEB 2026,              10.00,          10851120,             63.90,      693603590.40
05 FEB 2026,DELTIC,SM,DELTA AUTOCORP LIMITED   ,Listed    ,05 FEB 2026,              10.00,          15289698,             39.80,      608529980.40    
05 FEB 2026,DEN,EQ,DEN NETWORKS LTD         ,Listed    ,05 FEB 2026,              10.00,         477223845,             29.55,    14092420142.85       
05 FEB 2026,DENEERS,SM,DE NEERS TOOLS LIMITED   ,Listed    ,05 FEB 2026,              10.00,           8606400,            142.10,     1222969440.00   
05 FEB 2026,DENORA,EQ,DE NORA INDIA LIMITED    ,Listed    ,05 FEB 2026,              10.00,           5308634,            599.35,     3181729787.90    
05 FEB 2026,DENTA,EQ,DENTA WATER N INFRA SOL L,Listed    ,05 FEB 2026,              10.00,          26700000,            264.60,     7064820000.00     
05 FEB 2026,DENTALKART,SM,VASA DENTICITY LIMITED   ,Listed    ,05 FEB 2026,              10.00,          17336798,            592.85,    10278120694.30
05 FEB 2026,DESTINY,SM,DESTINY LOGISTICS & I LTD,Listed    ,05 FEB 2026,              10.00,          15388000,            119.00,     1831172000.00   
05 FEB 2026,DEVIT,EQ,DEV INFO TECHNOLOGY LTD  ,Listed    ,05 FEB 2026,               2.00,          56335233,             31.00,     1746392223.00     
05 FEB 2026,DEVX,EQ,DEV ACCELERATOR LIMITED  ,Listed    ,05 FEB 2026,               2.00,          90187515,             39.10,     3528135586.80      
05 FEB 2026,DEVYANI,EQ,DEVYANI INTERNATIONAL LTD,Listed    ,05 FEB 2026,               1.00,        1232872291,            132.20,   162973388147.30   
05 FEB 2026,DGCONTENT,EQ,DIGICONTENT LIMITED      ,Listed    ,05 FEB 2026,               2.00,          58187078,             24.75,     1441293922.05 
05 FEB 2026,DHAMPURSUG,EQ,DHAMPUR SUGAR MILLS LTD. ,Listed    ,05 FEB 2026,              10.00,          64306509,            120.35,     7739288358.15
05 FEB 2026,DHANBANK,EQ,DHANLAXMI BANK LIMITED   ,Listed    ,05 FEB 2026,              10.00,         394698851,             24.15,     9524083274.65  
05 FEB 2026,DHANLAXMI,SM,DHANLAXMI CROP SCIENCE L ,Listed    ,05 FEB 2026,              10.00,          16328000,             29.45,      480859600.00 
05 FEB 2026,DHANUKA,EQ,DHANUKA AGRITECH LTD     ,Listed    ,05 FEB 2026,               2.00,          45078324,           1068.40,    48161681361.60   
05 FEB 2026,DHARAN,BZ,DHARAN INFRA-EPC LIMITED ,Listed    ,05 FEB 2026,               1.00,        5228758452,              0.20,      941176521.35    
05 FEB 2026,DHARARAIL,SM,DHARA RAIL PROJECTS LTD  ,Listed    ,05 FEB 2026,              10.00,          15084000,            119.85,     1807817400.00 
05 FEB 2026,DHARIWAL,ST,DHARIWALCORP LIMITED     ,Listed    ,05 FEB 2026,              10.00,           8951400,            386.00,     3455240400.00  
05 FEB 2026,DHARMAJ,EQ,DHARMAJ CROP GUARD LTD   ,Listed    ,05 FEB 2026,              10.00,          33797296,            240.40,     8124869958.40   
05 FEB 2026,DHRUV,EQ,DHRUV CONSULTANCY SER LTD,Listed    ,05 FEB 2026,              10.00,          18966569,             34.40,      652639639.30     
05 FEB 2026,DHTL,ST,DOCMODE HEALTH TECH LTD  ,Listed    ,04 FEB 2026,              10.00,           3142800,             68.45,      215124660.00      
05 FEB 2026,DHUNINV,EQ,DHUNSERI INVESTMENTS LTD ,Listed    ,05 FEB 2026,              10.00,           6097178,           1002.00,     6109372356.00   
05 FEB 2026,DIACABS,EQ,DIAMOND POWER INFRA LTD  ,Listed    ,05 FEB 2026,               1.00,         526971060,            124.75,    65739639735.00   
05 FEB 2026,DIAMINESQ,EQ,DIAMINES & CHEMICALS LTD ,Listed    ,05 FEB 2026,              10.00,           9783990,            250.40,     2449911096.00 
05 FEB 2026,DIAMONDYD,EQ,PRATAAP SNACKS LIMITED   ,Listed    ,05 FEB 2026,               5.00,          23900929,           1102.70,    26355554408.30 
05 FEB 2026,DICIND,EQ,DIC INDIA LIMITED        ,Listed    ,05 FEB 2026,              10.00,           9178977,            553.85,     5083776411.45    
05 FEB 2026,DIFFNKG,EQ,DIFFUSION ENGINEERS LTD  ,Listed    ,05 FEB 2026,              10.00,          37426259,            251.55,     9413826926.25   
05 FEB 2026,DIGIDRIVE,EQ,DIGIDRIVE DISTRIBUTORS L ,Listed    ,05 FEB 2026,              10.00,          38561898,             22.00,      848361756.00 
05 FEB 2026,DIGIKORE,SM,DIGIKORE STUDIOS LIMITED ,Listed    ,05 FEB 2026,              10.00,          12665600,             63.50,      804265600.00  
05 FEB 2026,DIGISPICE,EQ,DIGISPICE TECHNOLOGIES LT,Listed    ,05 FEB 2026,               3.00,         234471106,             20.05,     4698800964.25 
05 FEB 2026,DIGITIDE,EQ,DIGITIDE SOLUTIONS LTD   ,Listed    ,05 FEB 2026,              10.00,         148949413,            111.30,    16575090678.65  
05 FEB 2026,DIGJAMLMTD,EQ,DIGJAM LTD               ,Listed    ,05 FEB 2026,              10.00,          20000000,             51.30,     1026400000.00
05 FEB 2026,DIL,BZ,DEBOCK INDUSTRIES LIMITED,Listed    ,05 FEB 2026,              10.00,         162736115,              1.35,      216439032.95       
05 FEB 2026,DIRL,SM,DHANUKA INFRA REALTY LTD ,Listed    ,01 JAN 2026,              10.00,           9540040,             19.90,      189846796.00      
05 FEB 2026,DISHTV,EQ,DISH TV INDIA LTD.       ,Listed    ,05 FEB 2026,               1.00,        1841256054,              3.40,     6241858023.05    
05 FEB 2026,DIVGIITTS,EQ,DIVGI TORQTRANSFER SYST L,Listed    ,05 FEB 2026,               5.00,          30582927,            627.95,    19204549009.65 
05 FEB 2026,DIVINEHIRA,ST,DIVINE HIRA JEWELLERS LTD,Listed    ,05 FEB 2026,              10.00,          13047100,            227.00,     2961691700.00
05 FEB 2026,DIVISLAB,EQ,DIVI S LABORATORIES LTD  ,Listed    ,05 FEB 2026,               2.00,         265468580,           6141.50,  1630375284070.00  
05 FEB 2026,DIVYADHAN,SM,DIVYADHAN RECYCLING IND L,Listed    ,05 FEB 2026,              10.00,          14306714,             22.60,      323331736.40 
05 FEB 2026,DIXON,EQ,DIXON TECHNO (INDIA) LTD ,Listed    ,05 FEB 2026,               2.00,          60685743,          11376.00,   690361012368.00     
05 FEB 2026,DJML,EQ,DJ MEDIAPRINT & LOG LTD  ,Listed    ,05 FEB 2026,              10.00,          32977851,             88.25,     2910625129.25      
05 FEB 2026,DKEGL,SM,D K ENTERPRISES GLOBAL L ,Listed    ,03 FEB 2026,              10.00,           7508000,             72.00,      540576000.00     
05 FEB 2026,DLF,EQ,DLF LIMITED              ,Listed    ,05 FEB 2026,               2.00,        2475315036,            661.30,  1636925833306.80       
05 FEB 2026,DLINKINDIA,EQ,D-LINK INDIA LTD         ,Listed    ,05 FEB 2026,               2.00,          35504850,            412.55,    14647525867.50
05 FEB 2026,DMART,EQ,AVENUE SUPERMARTS LIMITED,Listed    ,05 FEB 2026,              10.00,         650733068,           3934.90,  2560569549273.20     
05 FEB 2026,DMCC,EQ,DMCC SPECIALITY CHEMICALS,Listed    ,05 FEB 2026,              10.00,          24939933,            223.65,     5577816015.45      
05 FEB 2026,DNAMEDIA,EQ,DILIGENT MEDIA CORP LTD. ,Listed    ,05 FEB 2026,               1.00,         117708018,              3.75,      442582147.70  
05 FEB 2026,DODLA,EQ,DODLA DAIRY LIMITED      ,Listed    ,05 FEB 2026,              10.00,          60327809,           1182.10,    71313503018.90     
05 FEB 2026,DOLATALGO,EQ,DOLAT ALGOTECH LIMITED   ,Listed    ,05 FEB 2026,               1.00,         176000000,             76.50,    13462240000.00 
05 FEB 2026,DOLLAR,EQ,DOLLAR INDUSTRIES LIMITED,Listed    ,05 FEB 2026,               2.00,          56716120,            327.65,    18583036718.00    
05 FEB 2026,DOLLEX,SM,DOLLEX AGROTECH LIMITED  ,Listed    ,05 FEB 2026,              10.00,          39948800,             36.75,     1468118400.00    
05 FEB 2026,DOLPHIN,EQ,DOLPHIN OFF ENT (IND) L  ,Listed    ,05 FEB 2026,               1.00,          40004580,            423.80,    16953941004.00   
05 FEB 2026,DOMS,EQ,DOMS INDUSTRIES LIMITED  ,Listed    ,05 FEB 2026,              10.00,          60687811,           2474.30,   150159850757.30      
05 FEB 2026,DONEAR,EQ,DONEAR IND. LIMITED      ,Listed    ,05 FEB 2026,               2.00,          52000000,             93.15,     4843280000.00    
05 FEB 2026,DPABHUSHAN,EQ,D. P. ABHUSHAN LIMITED   ,Listed    ,05 FEB 2026,              10.00,          22827920,           1203.20,    27466553344.00
05 FEB 2026,DPEL,ST,DIVINE POWER ENERGY LTD  ,Listed    ,05 FEB 2026,              10.00,          24965080,            293.00,     7314768440.00      
05 FEB 2026,DPSCLTD,EQ,DPSC LIMITED             ,Listed    ,05 FEB 2026,               1.00,         973789640,              9.40,     9134146823.20   
05 FEB 2026,DPWIRES,EQ,D P WIRES LIMITED        ,Listed    ,05 FEB 2026,              10.00,          15506286,            167.65,     2599473785.05   
05 FEB 2026,DRCSYSTEMS,EQ,DRC SYSTEMS INDIA LIMITED,Listed    ,05 FEB 2026,               1.00,         144081330,             16.70,     2409039837.60
05 FEB 2026,DREAMFOLKS,EQ,DREAMFOLKS SERVICES LTD  ,Listed    ,05 FEB 2026,               2.00,          53269862,             92.15,     4908817783.30
05 FEB 2026,DREDGECORP,EQ,DREDGING CORP OF INDIA   ,Listed    ,05 FEB 2026,              10.00,          28000000,           1007.80,    28218400000.00
05 FEB 2026,DRONE,SM,DRONE DESTINATION LIMITED,Listed    ,05 FEB 2026,              10.00,          24399998,             51.65,     1260259896.70     
05 FEB 2026,DRREDDY,EQ,DR. REDDY S LABORATORIES ,Listed    ,05 FEB 2026,               1.00,         834630355,           1244.90,  1039031328939.50   
05 FEB 2026,DRSCARGO,SM,DRS CARGO MOVERS LIMITED ,Listed    ,04 FEB 2026,              10.00,           7531201,             23.00,      173217623.00  
05 FEB 2026,DRSDILIP,SM,DRS DILIP ROADLINES LTD. ,Listed    ,05 FEB 2026,              10.00,          15062403,             66.50,     1001649799.50  
05 FEB 2026,DSSL,EQ,DYNACONS SYS & SOLN LTD  ,Listed    ,05 FEB 2026,              10.00,          12725330,            965.45,    12285669848.50      
05 FEB 2026,DTIL,EQ,DHUNSERI TEA & IND. LTD. ,Listed    ,05 FEB 2026,              10.00,          10507427,            144.50,     1518533350.05      
05 FEB 2026,DTL,SM,DIENSTEN TECH LIMITED    ,Listed    ,05 FEB 2026,              10.00,           8260646,            128.00,     1057362688.00       
05 FEB 2026,DUCOL,SM,DUCOL ORGS AND COLOURS LT,Listed    ,05 FEB 2026,              10.00,          16254276,            131.10,     2130935583.60     
05 FEB 2026,DUCON,EQ,DUCON INFRATECHNOLOGIES L,Listed    ,05 FEB 2026,               1.00,         324925587,              4.20,     1361438209.55     
05 FEB 2026,DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED ,Listed    ,05 FEB 2026,               2.00,          71871953,             28.25,     2030382672.25  
05 FEB 2026,DURLAX,SM,DURLAX TOP SURFACE LTD   ,Listed    ,05 FEB 2026,              10.00,          16627701,             49.45,      822239814.45    
05 FEB 2026,DVL,EQ,DHUNSERI VENTURES LIMITED,Listed    ,05 FEB 2026,              10.00,          35024754,            257.25,     9010117966.50       
05 FEB 2026,DWARKESH,EQ,DWARIKESH SUGAR IND LTD  ,Listed    ,05 FEB 2026,               1.00,         185301470,             34.20,     6333604244.60  
05 FEB 2026,DYCL,EQ,DYNAMIC CABLES LIMITED   ,Listed    ,05 FEB 2026,              10.00,          48458638,            300.85,    14578781242.30      
05 FEB 2026,DYNAMATECH,EQ,DYNAMATIC TECHNOLOGIES   ,Listed    ,05 FEB 2026,              10.00,           6791443,           8611.50,    58484511394.50
05 FEB 2026,DYNAMIC,SM,DYNAMIC SRVCS & SEC LTD  ,Listed    ,04 FEB 2026,              10.00,          13746192,            133.75,     1838553180.00   
05 FEB 2026,DYNPRO,EQ,DYNEMIC PRODUCTS LIMITED ,Listed    ,05 FEB 2026,              10.00,          12428387,            218.95,     2721319617.50    
05 FEB 2026,E2E,EQ,E2E NETWORKS LIMITED     ,Listed    ,05 FEB 2026,              10.00,          20123689,           2366.90,    47630759494.10       
05 FEB 2026,E2ERAIL,SM,E TO E TRANS INFRA LTD   ,Listed    ,05 FEB 2026,              10.00,          17257570,            210.40,     3630992728.00   
05 FEB 2026,EASEMYTRIP,EQ,EASY TRIP PLANNERS LTD   ,Listed    ,05 FEB 2026,               1.00,        3636853188,              6.65,    24112336636.45
05 FEB 2026,EASTSILK,BE,EASTERN SILK INDUSTRIES L,Listed    ,05 FEB 2026,               2.00,           5000000,             71.35,      356700000.00  
05 FEB 2026,EBGNG,EQ,GNG ELECTRONICS LIMITED  ,Listed    ,05 FEB 2026,               2.00,         114011517,            291.95,    33285662388.15     
05 FEB 2026,ECLERX,EQ,ECLERX SERVICES LTD      ,Listed    ,05 FEB 2026,              10.00,          47650360,           4497.20,   214293198992.00    
05 FEB 2026,ECOLINE,SM,ECOLINE EXIM LIMITED     ,Listed    ,04 FEB 2026,              10.00,          20515376,            132.00,     2708029632.00   
05 FEB 2026,ECOSMOBLTY,EQ,ECOS (INDIA) MOB & HOSP L,Listed    ,05 FEB 2026,               2.00,          60000000,            205.80,    12349200000.00
05 FEB 2026,EDELWEISS,EQ,EDELWEISS FIN SERV LTD   ,Listed    ,05 FEB 2026,               1.00,         946473324,            107.35,   101613376064.65 
05 FEB 2026,EEPL,SM,EPPELTONE ENGINEERS LTD  ,Listed    ,05 FEB 2026,              10.00,          12959312,            153.95,     1995086082.40      
05 FEB 2026,EFACTOR,ST,E FACTOR EXPERIENCES LTD ,Listed    ,05 FEB 2026,              10.00,          13088098,            275.00,     3599226950.00   
05 FEB 2026,EFCIL,EQ,EFC (I) LIMITED          ,Listed    ,05 FEB 2026,               2.00,         137283376,            267.25,    36688982236.00     
05 FEB 2026,EFFWA,SM,EFFWA INFRA & RESEARCH L ,Listed    ,05 FEB 2026,              10.00,          23147167,            203.40,     4708133767.80     
05 FEB 2026,EFORCE,SM,ELECTRO FORCE (INDIA) LTD,Listed    ,05 FEB 2026,              10.00,          23400001,             31.00,      725400031.00    
05 FEB 2026,EICHERMOT,EQ,EICHER MOTORS LTD        ,Listed    ,05 FEB 2026,               1.00,         274299237,           7209.50,  1977560349151.50 
05 FEB 2026,EIDPARRY,EQ,EID PARRY INDIA LTD      ,Listed    ,05 FEB 2026,               1.00,         177872717,            891.10,   158502378118.70  
05 FEB 2026,EIEL,EQ,ENVIRO INFRA ENGINEERS L ,Listed    ,05 FEB 2026,              10.00,         175530000,            179.65,    31535719800.00      
05 FEB 2026,EIFFL,EQ,EURO (I) FRESH FOODS LTD ,Listed    ,05 FEB 2026,              10.00,          24800000,            251.25,     6231000000.00     
05 FEB 2026,EIHAHOTELS,EQ,EIH ASSOCIATED HOTELS LTD,Listed    ,05 FEB 2026,              10.00,          60936294,            348.30,    21224111200.20
05 FEB 2026,EIHOTEL,EQ,EIH LIMITED              ,Listed    ,05 FEB 2026,               2.00,         625364182,            341.20,   213374258898.40   
05 FEB 2026,EIMCOELECO,EQ,EIMCO ELECON (INDIA) LTD ,Listed    ,05 FEB 2026,              10.00,           5768385,           1662.80,     9591670578.00
05 FEB 2026,EKC,EQ,EVEREST KANTO CYLINDERLTD,Listed    ,05 FEB 2026,               2.00,         112207682,            113.55,    12738938137.45       
05 FEB 2026,ELDEHSG,EQ,ELDECO HSG & IND LTD.    ,Listed    ,05 FEB 2026,               2.00,           9833000,            938.70,     9230237100.00   
05 FEB 2026,ELECON,EQ,ELECON ENG. CO. LTD      ,Listed    ,05 FEB 2026,               1.00,         224399930,            438.50,    98399369305.00    
05 FEB 2026,ELECTCAST,EQ,ELECTROSTEEL CASTINGS LTD,Listed    ,05 FEB 2026,               1.00,         618184591,             73.95,    45708568658.55 
05 FEB 2026,ELECTHERM,EQ,ELECTROTHERM (I) LTD.    ,Listed    ,05 FEB 2026,              10.00,          12742814,            767.15,     9775649760.10 
05 FEB 2026,ELGIEQUIP,EQ,ELGI EQUIPMENTS LTD      ,Listed    ,05 FEB 2026,               1.00,         316909016,            487.55,   154508990750.80 
05 FEB 2026,ELGIRUBCO,EQ,ELGI RUBBER CO. LTD      ,Listed    ,05 FEB 2026,               1.00,          50050000,             41.10,     2057055000.00 
05 FEB 2026,ELGNZ,SM,ELEGANZ INTERIORS LIMITED,Listed    ,05 FEB 2026,              10.00,          22599626,             81.50,     1841869519.00     
05 FEB 2026,ELIN,EQ,ELIN ELECTRONICS LIMITED ,Listed    ,05 FEB 2026,               5.00,          49659220,            158.20,     7856088604.00      
05 FEB 2026,ELLEN,EQ,ELLENBARRIE INDUS GASES L,Listed    ,05 FEB 2026,               2.00,         140935600,            254.25,    35832876300.00     
05 FEB 2026,EMAMILTD,EQ,EMAMI LIMITED            ,Listed    ,05 FEB 2026,               1.00,         436500000,            503.30,   219690450000.00  
05 FEB 2026,EMAMIPAP,EQ,EMAMI PAPER MILLS LIMITED,Listed    ,05 FEB 2026,               2.00,          60499050,             84.65,     5120034601.50  
05 FEB 2026,EMAMIREAL,EQ,EMAMI REALTY LIMITED     ,Listed    ,05 FEB 2026,               2.00,          43833889,             72.65,     3185408713.65 
05 FEB 2026,EMAPARTNER,SM,EMA PARTNERS INDIA LTD   ,Listed    ,05 FEB 2026,               5.00,          23246426,             91.85,     2135184228.10
05 FEB 2026,EMBASSY,RR,EMBASSY OFFICE PARKS REIT,Listed    ,05 FEB 2026,             300.00,         947893743,            440.05,   417111162669.70   
05 FEB 2026,EMBDL,BE,EMBASSY DEVELOPMENTS LTD ,Listed    ,05 FEB 2026,               2.00,        1390633433,             64.80,    90099140124.05     
05 FEB 2026,EMCURE,EQ,EMCURE PHARMACEUTICALS L ,Listed    ,05 FEB 2026,              10.00,         189564847,           1482.30,   280991972708.10    
05 FEB 2026,EMIL,EQ,ELECTRONICS MART IND LTD ,Listed    ,05 FEB 2026,              10.00,         384748762,             94.55,    36381842934.70      
05 FEB 2026,EMKAY,EQ,EMKAY GLOBAL FIN SERV LTD,Listed    ,05 FEB 2026,              10.00,          25632463,            248.85,     6378638417.55     
05 FEB 2026,EMKAYTOOLS,SM,EMKAY TAP & CUT. TOOL LTD,Listed    ,05 FEB 2026,              10.00,          10671300,            103.85,     1108214505.00
05 FEB 2026,EMMBI,EQ,EMMBI INDUSTRIES LIMITED ,Listed    ,05 FEB 2026,              10.00,          19240250,             94.65,     1821282065.00     
05 FEB 2026,EMMIL,SM,ENERGY MISSION MACH IND L,Listed    ,04 FEB 2026,              10.00,          11326500,            151.90,     1720495350.00     
05 FEB 2026,EMMVEE,EQ,EMMVEE PHOTOVOLTAIC PWR L,Listed    ,05 FEB 2026,               2.00,         692345033,            202.55,   140241409884.50    
05 FEB 2026,EMSLIMITED,EQ,EMS LIMITED              ,Listed    ,05 FEB 2026,              10.00,          55530807,            378.75,    21032293151.25
05 FEB 2026,EMUDHRA,EQ,EMUDHRA LIMITED          ,Listed    ,05 FEB 2026,               5.00,          82811707,            511.75,    42378891057.25   
05 FEB 2026,ENCOMPAS,SM,ENCOMPASS DESIGN INDIA L ,Listed    ,05 FEB 2026,              10.00,          14183544,            246.75,     3499789482.00  
05 FEB 2026,ENDURANCE,EQ,ENDURANCE TECHNO. LTD.   ,Listed    ,05 FEB 2026,              10.00,         140662848,           2450.50,   344694309024.00 
05 FEB 2026,ENERGYDEV,BE,ENERGY DEVE. CO.LTD      ,Listed    ,05 FEB 2026,              10.00,          47500000,             17.50,      831725000.00 
05 FEB 2026,ENFUSE,SM,ENFUSE SOLUTIONS LIMITED ,Listed    ,05 FEB 2026,              10.00,           8847600,            200.50,     1773943800.00    
05 FEB 2026,ENGINERSIN,EQ,ENGINEERS INDIA LTD      ,Listed    ,05 FEB 2026,               5.00,         562042373,            173.95,    97761650359.60
05 FEB 2026,ENIL,EQ,ENTERTAIN NET. IND. LTD. ,Listed    ,05 FEB 2026,              10.00,          47670415,            113.55,     5412022214.95      
05 FEB 2026,ENRIN,EQ,SIEMENS ENERGY INDIA LTD ,Listed    ,05 FEB 2026,               2.00,         356120505,           2598.90,   925521580444.50     
05 FEB 2026,ENSER,SM,ENSER COMMUNICATIONS LTD ,Listed    ,05 FEB 2026,               2.00,          87160590,             13.50,     1176667965.00     
05 FEB 2026,ENTERO,EQ,ENTERO HEALTHCARE SOLU L ,Listed    ,05 FEB 2026,              10.00,          43510937,           1132.20,    49263082871.40    
05 FEB 2026,ENVIRO,SM,ENVIROTECH SYSTEMS LTD   ,Listed    ,05 FEB 2026,              10.00,          18790000,            109.00,     2048110000.00    
05 FEB 2026,EPACK,EQ,EPACK DURABLE LIMITED    ,Listed    ,05 FEB 2026,              10.00,          96228477,            245.50,    23624091103.50     
05 FEB 2026,EPACKPEB,EQ,EPACK PREFAB TECHN LTD   ,Listed    ,05 FEB 2026,               2.00,         100451997,            208.95,    20989444773.15  
05 FEB 2026,EPIGRAL,EQ,EPIGRAL LIMITED          ,Listed    ,05 FEB 2026,              10.00,          43141338,           1003.00,    43270762014.00   
05 FEB 2026,EPL,EQ,EPL LIMITED              ,Listed    ,05 FEB 2026,               2.00,         320276025,            212.05,    67917733861.50       
05 FEB 2026,EPWINDIA,SM,EPW INDIA LIMITED        ,Listed    ,05 FEB 2026,               5.00,          11479600,            111.00,     1274235600.00  
05 FEB 2026,EQUIPPP,BE,EQUIPPP SOC IMP TECH LTD ,Listed    ,05 FEB 2026,               1.00,         103095225,             18.45,     1900044996.75   
05 FEB 2026,EQUITASBNK,EQ,EQUITAS SMALL FIN BNK LTD,Listed    ,05 FEB 2026,              10.00,        1140719893,             66.15,    75435806524.10
05 FEB 2026,ERIS,EQ,ERIS LIFESCIENCES LIMITED,Listed    ,05 FEB 2026,               1.00,         136216891,           1413.20,   192501710361.20      
05 FEB 2026,ESABINDIA,EQ,ESAB INDIA LTD           ,Listed    ,05 FEB 2026,              10.00,          15393020,           5763.50,    88717670770.00 
05 FEB 2026,ESAFSFB,EQ,ESAF SMALL FINANCE BANK L,Listed    ,05 FEB 2026,              10.00,         515572741,             28.45,    14678355936.25   
05 FEB 2026,ESCONET,SM,ESCONET TECHNOLOGIES LTD ,Listed    ,05 FEB 2026,              10.00,          13196238,            124.15,     1638312947.70   
05 FEB 2026,ESCORTS,EQ,ESCORTS KUBOTA LIMITED   ,Listed    ,05 FEB 2026,              10.00,         111877754,           3714.10,   415525166131.40   
05 FEB 2026,ESFL,SM,ESSEN SPECIALITY FILMS L ,Listed    ,05 FEB 2026,              10.00,          24839040,            138.00,     3427787520.00      
05 FEB 2026,ESPRIT,SM,ESPRIT STONES LIMITED    ,Listed    ,05 FEB 2026,              10.00,          21945200,             90.70,     1990429640.00    
05 FEB 2026,ESSARSHPNG,EQ,ESSAR SHIPPING LTD       ,Listed    ,05 FEB 2026,              10.00,         206976072,             26.75,     5540749447.45
05 FEB 2026,ESSENTIA,EQ,INTEGRA ESSENTIA LIMITED ,Listed    ,05 FEB 2026,               1.00,        1067690544,              1.55,     1633566532.30  
05 FEB 2026,ESTER,EQ,ESTER INDUSTRIES LTD     ,Listed    ,05 FEB 2026,               5.00,          97586191,            100.55,     9813267366.95     
05 FEB 2026,ETERNAL,EQ,ETERNAL LIMITED          ,Listed    ,05 FEB 2026,               1.00,        9650350647,            286.85,  2768203083091.95   
05 FEB 2026,ETHOSLTD,EQ,ETHOS LIMITED            ,Listed    ,05 FEB 2026,              10.00,          26757693,           2717.80,    72722058035.40  
05 FEB 2026,ETL,SM,EMKAY TOOLS LIMITED      ,Listed    ,05 FEB 2026,               1.00,          10671300,            841.20,     8976697560.00       
05 FEB 2026,ETML,SM,EMERALD TYRE MANUF LTD   ,Listed    ,05 FEB 2026,              10.00,          19476512,            105.00,     2045033760.00      
05 FEB 2026,EUREKAFORB,EQ,EUREKA FORBES LIMITED    ,Listed    ,05 FEB 2026,              10.00,         193403691,            508.20,    98287755766.20
05 FEB 2026,EUROBOND,EQ,EURO PANEL PRODUCTS LTD  ,Listed    ,05 FEB 2026,              10.00,          24500000,            179.10,     4387950000.00  
05 FEB 2026,EUROPRATIK,EQ,EURO PRATIK SALES LIMITED,Listed    ,05 FEB 2026,               1.00,         102200000,            266.05,    27188266000.00
05 FEB 2026,EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,Listed    ,05 FEB 2026,              10.00,           8749865,             13.80,      120748137.00
05 FEB 2026,EVEREADY,EQ,EVEREADY INDS. IND.  LTD.,Listed    ,05 FEB 2026,               5.00,          72687260,            345.40,    25106179604.00  
05 FEB 2026,EVERESTIND,EQ,EVEREST INDUSTRIES LTD   ,Listed    ,05 FEB 2026,              10.00,          15855754,            435.30,     6902009716.20
05 FEB 2026,EXCEL,EQ,EXCEL REALTY N INFRA LTD ,Listed    ,05 FEB 2026,               1.00,        1410695055,              1.20,     1721047967.10     
05 FEB 2026,EXCELINDUS,EQ,EXCEL INDUSTRIES LTD     ,Listed    ,05 FEB 2026,               5.00,          12570692,            985.80,    12392188173.60
05 FEB 2026,EXCELLENT,ST,EXCELLENT WIRES N PACK L ,Listed    ,05 FEB 2026,              10.00,           4470000,             67.00,      299490000.00 
